"year","carbon_dioxide"
1950,1.2508082419217366
1951,1.2506532385041194
1952,1.2537610926834286
1953,1.2599001393778293
1954,1.2688781774209235
1955,1.2805379954809808
1956,1.2947535125977296
1957,1.3114264568069811
1958,1.3304835153596306
1959,1.3518738987990755
1960,1.37556726880523
1961,1.4069786768069554
1962,1.4314899204139875
1963,1.4734882444495554
1964,1.5241987682662799
1965,1.593983844200589
1966,1.6523972944975651
1967,1.7109359313252102
1968,1.75737000134034
1969,1.823040804942167
1970,1.9041012914110527
1971,2.010134729873579
1972,2.1134030026566415
1973,2.2350111085805513
1974,2.373230748366799
1975,2.4574970280149766
1976,2.5134834678569278
1977,2.6622874434431307
1978,2.777620944692956
1979,2.8833287013740776
1980,3.005288058639718
1981,3.149022166441329
1982,3.3229724830937934
1983,3.469173159952316
1984,3.684035494854399
1985,3.985722968601762
1986,4.288751865457228
1987,4.601535108203172
1988,4.97030191845006
1989,5.413532162792753
1990,5.85538547454818
1991,5.854326748360908
1992,5.806412818476545
1993,5.847905781160909
1994,5.88240420678409
1995,6.0119830981941815
1996,6.144768510722181
1997,6.186804676836273
1998,6.202190459950637
1999,6.262980719722526
2000,6.466107746545964
2001,6.528723487903774
2002,6.666909805733643
2003,6.983869206615134
2004,7.340867124499745
2005,7.5960259212883114
2006,7.834551137804453
2007,8.137830014502653
2008,8.171794616380664
2009,8.088389075513726
2010,8.485311792427717
2011,8.736587298588736
2012,8.897934396121116
2013,9.1675677371622
2014,9.223459980010281
2015,9.215041876947543
2016,9.232788955252907
2017,9.250536033558271
2018,9.268283111863633
2019,9.286030190168992
2020,9.303777268474356
2021,8.949717207850634
2022,8.595657147226914
2023,8.241597086603194
2024,7.887537025979476
2025,7.533476965355756
2026,7.1794169047320375
2027,6.825356844108316
2028,6.4712967834846
2029,6.117236722860879
2030,5.763176662237159
2031,5.410074195786282
2032,5.056971729335407
2033,4.703869262884532
2034,4.350766796433656
2035,3.997664329982781
2036,3.644561863531907
2037,3.291459397081031
2038,2.9383569306301562
2039,2.5852544641792803
2040,2.232151997728405
2041,2.070762239430077
2042,1.909372481131749
2043,1.747982722833422
2044,1.586592964535094
2045,1.425203206236767
2046,1.2638134479384389
2047,1.1024236896401112
2048,0.9410339313417838
2049,0.7796441730434566
2050,0.6182544147451284
2051,0.5437038219488401
2052,0.4691532291525517
2053,0.39460263635626336
2054,0.320052043559975
2055,0.24550145076368668
2056,0.1709508579673983
2057,0.09640026517110992
2058,0.02184967237482157
2059,-0.05270092042146678
2060,-0.12725151321775516
2061,-0.1923735306667208
2062,-0.2574955481156864
2063,-0.322617565564652
2064,-0.38773958301361755
2065,-0.45286160046258334
2066,-0.5179836179115488
2067,-0.5831056353605144
2068,-0.64822765280948
2069,-0.7133496702584459
2070,-0.7784716877074115
2071,-0.8429134394249946
2072,-0.9073551911425777
2073,-0.9717969428601613
2074,-1.036238694577745
2075,-1.1006804462953275
2076,-1.165122198012911
2077,-1.2295639497304947
2078,-1.2940057014480777
2079,-1.358447453165661
2080,-1.4228892048832442
2081,-1.469400833577518
2082,-1.5159124622717903
2083,-1.562424090966065
2084,-1.6089357196603375
2085,-1.655447348354611
2086,-1.7019589770488843
2087,-1.7484706057431578
2088,-1.794982234437431
2089,-1.8414938631317044
2090,-1.8880054918259783
2091,-1.963985781222177
2092,-2.039966070618376
2093,-2.115946360014575
2094,-2.191926649410774
2095,-2.2679069388069735
2096,-2.3438872282031724
2097,-2.4198675175993714
2098,-2.4958478069955707
2099,-2.5718280963917697
2100,-2.647808385787969
2101,-2.55232837307609
2102,-2.459821536347516
2103,-2.3701117892803354
2104,-2.283031098730463
2105,-2.1984189942921226
2106,-2.1161221078794
2107,-2.035993741391392
2108,-1.9578934606582776
2109,-1.881686713990816
2110,-1.8072444737719215
2111,-1.7344428996368089
2112,-1.6631630218883624
2113,-1.593290443887406
2114,-1.5247150622439856
2115,-1.4573308037161186
2116,-1.3910353777971176
2117,-1.325730044042051
2118,-1.2613193932484406
2119,-1.1977111416663906
2120,-1.1348159374691988
2121,-1.0725471787675127
2122,-1.0108208424984972
2123,-0.9495553235665286
2124,-0.8886712836538829
2125,-0.8280915091589669
2126,-0.7677407777559961
2127,-0.707545733103946
2128,-0.647434767264145
2129,-0.5873379104153065
2130,-0.5271867274821953
2131,-0.46691422131965354
2132,-0.4064547421174934
2133,-0.3457439027139374
2134,-0.28471849952592576
2135,-0.2233164388238459
2136,-0.1614766680961515
2137,-0.09913911226602991
2138,-0.03624461453779242
2139,0.02726511833486581
2140,0.09144756655315246
2141,0.15635944373189856
2142,0.2220567394830039
2143,0.28859475828306275
2144,0.3560281547746058
2145,0.4244109656410994
2146,0.4937966381871983
2147,0.5642380557477705
2148,0.6357875600418258
2149,0.7084969705806466
2150,0.7824176012331181
2151,0.8576002740454753
2152,0.9340953304073296
2153,1.0119526396509593
2154,1.0912216051663706
2155,1.1719511681105517
2156,1.2541898087856225
2157,1.3379855457572216
2158,1.4233859327814204
2159,1.5104380536057278
2160,1.5991885147073157
2161,1.6896834360294204
2162,1.7819684397749598
2163,1.8760886373147765
2164,1.9720886142664489
2165,2.0700124137984304
2166,2.169903518213233
2167,2.271804828862621
2168,2.3757586444470484
2169,2.481806637751211
2170,2.5899898308672222
2171,2.7003485689567768
2172,2.812922492603675
2173,2.927750508808176
2174,3.0448707606749097
2175,3.1643205958463985
2176,3.286136533734772
2177,3.410354231604705
2178,3.5370084495613585
2179,3.6661330144977806
2180,3.797760783057002
2181,3.9319236036650014
2182,4.068652277691556
2183,4.207976519797011
2184,4.349924917524046
2185,4.494524890194504
2186,4.6418026471725105
2187,4.791783145556171
2188,4.944490047361302
2189,5.099945676261723
2190,5.258170973951939
2191,5.419185456198906
2192,5.58300716865105
2193,5.749652642473544
2194,5.919136849880075
2195,6.091473159632403
2196,6.266673292580041
2197,6.444747277313315
2198,6.625703406004167
2199,6.8095481905097826
2200,6.996286318815158
2201,7.185618208478967
2202,7.377519294725246
2203,7.5719623569666785
2204,7.768917484253367
2205,7.96835204303528
2206,8.1702306473501
2207,8.374515131546456
2208,8.58116452565064
2209,8.790135033482592
2210,9.001380013624662
2211,9.214849963343797
2212,9.43049250556495
2213,9.648252378990339
2214,9.868071431455519
2215,10.089888616609725
2216,10.313639994004024
2217,10.539258732666273
2218,10.766675118237778
2219,10.99581656374177
2220,11.226607624048658
2221,11.45897001409824
2222,11.69282263093326
2223,11.928081579593487
2224,12.164660202913394
2225,12.402469115260569
2226,12.64141624024599
2227,12.881406852430572
2228,13.122343623046124
2229,13.36412666974196
2230,13.606653610361716
2231,13.849819620747656
2232,14.093517496562969
2233,14.337637719114984
2234,14.58206852515511
2235,14.826695980623885
2236,15.071404058301873
2237,15.316074719319765
2238,15.560587998473482
2239,15.804822093282315
2240,16.048653456720746
2241,16.29195689354686
2242,16.534605660142752
2243,16.776471567774927
2244,17.01742508917506
2245,17.257335468334276
2246,17.496070833396843
2247,17.733498312531847
2248,17.969484152654793
2249,18.20389384086381
2250,18.436592228448674
2251,18.66744365732443
2252,18.896312088734934
2253,19.12306123406568
2254,19.347554687599462
2255,19.569656061042764
2256,19.78922911964551
2257,20.006137919731973
2258,20.22024694745554
2259,20.431421258585946
2260,20.63952661913357
2261,20.844429646611196
2262,21.045997951731007
2263,21.24410028033073
2264,21.438606655321028
2265,21.629388518443367
2266,21.81631887162601
2267,21.999272417724395
2268,22.17812570043104
2269,22.35275724313938
2270,22.52304768654599
2271,22.688879924775723
2272,22.85013923981492
2273,23.00671343403922
2274,23.15849296062353
2275,23.305371051624334
2276,23.447243843526287
2277,23.58401050004828
2278,23.715573332007352
2279,23.841837914042348
2280,23.96271319800356
2281,24.078111622818955
2282,24.187949220652484
2283,24.29214571917558
2284,24.39062463977818
2285,24.483313391552215
2286,24.570143360886686
2287,24.651049996520097
2288,24.7259728899037
2289,24.79485585073592
2290,24.857646977536355
2291,24.91429872313611
2292,24.96476795496888
2293,25.0090160100566
2294,25.047008744591942
2295,25.078716578028793
2296,25.10411453160187
2297,25.123182261205397
2298,25.13590408457059
2299,25.142269002691922
2300,25.142270715461205
2301,25.142270715461205
2302,25.142270715461205
2303,25.142270715461205
2304,25.142270715461205
2305,25.142270715461205
2306,25.142270715461205
2307,25.142270715461205
2308,25.142270715461205
2309,25.142270715461205
2310,25.142270715461205
2311,25.142270715461205
2312,25.142270715461205
2313,25.142270715461205
